,combined,b,r,M,similarity,probability,acc,spec,sens,prec
0,0.6010344827586207,22,4,88,0.6,0.95,0.999917917917918,0.9999259222183292,0.84,0.3620689655172414
1,0.6466666666666666,33,4,132,0.6,0.99,0.9999019019019019,0.9999038990940488,0.96,0.3333333333333333
2,0.6760975609756097,20,5,100,0.6,0.8,0.999951951951952,0.9999599579558537,0.84,0.5121951219512195
3,0.6844444444444444,28,5,140,0.6,0.9,0.999947947947948,0.9999539516492317,0.88,0.4888888888888889
4,0.6995833333333333,37,5,185,0.6,0.95,0.999945945945946,0.999949947444817,0.92,0.4791666666666667
5,0.6767213114754098,57,5,285,0.6,0.99,0.9999239239239239,0.9999259222183292,0.96,0.39344262295081966
6,0.6435714285714286,25,6,150,0.6,0.7,0.999961961961962,0.9999779768757195,0.68,0.6071428571428571
7,0.64125,34,6,204,0.6,0.8,0.9999579579579579,0.9999719705690976,0.72,0.5625
8,0.5907692307692307,48,6,288,0.6,0.9,0.9999439439439439,0.9999579558536463,0.72,0.46153846153846156
9,0.6127659574468085,63,6,378,0.6,0.95,0.9999359359359359,0.9999459432404024,0.8,0.425531914893617
10,0.6181132075471698,96,6,576,0.6,0.99,0.999927927927928,0.9999359327293659,0.84,0.39622641509433965
11,0.6133333333333333,42,7,294,0.6,0.7,0.9999639639639639,0.9999859852845487,0.56,0.6666666666666666
12,0.6162962962962963,57,7,399,0.6,0.8,0.99995995995996,0.9999779768757195,0.64,0.5925925925925926
13,0.5975757575757576,81,7,567,0.6,0.9,0.999951951951952,0.9999679663646829,0.68,0.5151515151515151
14,0.6061904761904762,106,7,742,0.6,0.95,0.999941941941942,0.9999539516492317,0.76,0.4523809523809524
15,0.6233333333333333,71,8,568,0.6,0.7,0.9999579579579579,0.9999739726713048,0.68,0.5666666666666667
16,0.5975757575757576,95,8,760,0.6,0.8,0.999951951951952,0.9999679663646829,0.68,0.5151515151515151
17,0.6844444444444444,25,5,125,0.7,0.99,0.999947947947948,0.9999539516492317,0.88,0.4888888888888889
18,0.5981818181818181,18,6,108,0.7,0.9,0.999961961961962,0.9999839831823415,0.56,0.6363636363636364
19,0.6435714285714286,24,6,144,0.7,0.95,0.999961961961962,0.9999779768757195,0.68,0.6071428571428571
20,0.6327272727272727,37,6,222,0.7,0.99,0.999955955955956,0.9999699684668902,0.72,0.5454545454545454
21,0.5333333333333333,14,7,98,0.7,0.7,0.99995995995996,0.9999899894889634,0.4,0.6666666666666666
22,0.5733333333333333,19,7,133,0.7,0.8,0.999961961961962,0.9999879873867561,0.48,0.6666666666666666
23,0.63,27,7,189,0.7,0.9,0.999965965965966,0.9999879873867561,0.56,0.7
24,0.63,35,7,245,0.7,0.95,0.999965965965966,0.9999879873867561,0.56,0.7
25,0.6,54,7,378,0.7,0.99,0.99995995995996,0.9999799789779268,0.6,0.6
26,0.5125,20,8,160,0.7,0.7,0.9999579579579579,0.9999879873867561,0.4,0.625
27,0.47,27,8,216,0.7,0.8,0.9999499499499499,0.9999779768757195,0.44,0.5
28,0.5008695652173913,39,8,312,0.7,0.9,0.999951951951952,0.9999779768757195,0.48,0.5217391304347826
29,0.51,50,8,400,0.7,0.95,0.9999499499499499,0.9999739726713048,0.52,0.5
30,0.6233333333333333,78,8,624,0.7,0.99,0.9999579579579579,0.9999739726713048,0.68,0.5666666666666667
31,0.37,29,9,261,0.7,0.7,0.9999499499499499,0.9999879873867561,0.24,0.5
32,0.39,39,9,351,0.7,0.8,0.9999499499499499,0.9999859852845487,0.28,0.5
33,0.4447058823529412,56,9,504,0.7,0.9,0.999951951951952,0.9999839831823415,0.36,0.5294117647058824
34,0.54,73,9,657,0.7,0.95,0.9999579579579579,0.9999839831823415,0.48,0.6
35,0.528888888888889,42,10,420,0.7,0.7,0.99995995995996,0.9999959957955854,0.28,0.7777777777777778
36,0.56,56,10,560,0.7,0.8,0.999961961961962,0.9999959957955854,0.32,0.8
37,0.5549999999999999,80,10,800,0.7,0.9,0.999961961961962,0.999993993693378,0.36,0.75
38,0.5695238095238095,15,6,90,0.8,0.99,0.99995995995996,0.9999839831823415,0.52,0.6190476190476191
39,0.5333333333333333,13,7,91,0.8,0.95,0.99995995995996,0.9999899894889634,0.4,0.6666666666666666
40,0.5733333333333333,20,7,140,0.8,0.99,0.999961961961962,0.9999879873867561,0.48,0.6666666666666666
41,0.4933333333333333,13,8,104,0.8,0.9,0.9999579579579579,0.9999919915911707,0.32,0.6666666666666666
42,0.5014285714285714,16,8,128,0.8,0.95,0.9999579579579579,0.9999899894889634,0.36,0.6428571428571429
43,0.48190476190476195,25,8,200,0.8,0.99,0.999951951951952,0.9999799789779268,0.44,0.5238095238095238
44,0.3657142857142857,11,9,99,0.8,0.8,0.999951951951952,0.999993993693378,0.16,0.5714285714285714
45,0.3927272727272727,16,9,144,0.8,0.9,0.999951951951952,0.9999899894889634,0.24,0.5454545454545454
46,0.3927272727272727,21,9,189,0.8,0.95,0.999951951951952,0.9999899894889634,0.24,0.5454545454545454
47,0.37,32,9,288,0.8,0.99,0.9999499499499499,0.9999879873867561,0.24,0.5
48,0.3733333333333333,11,10,110,0.8,0.7,0.999951951951952,0.9999979978977926,0.08,0.6666666666666666
49,0.3733333333333333,14,10,140,0.8,0.8,0.999951951951952,0.9999979978977926,0.08,0.6666666666666666
50,0.48000000000000004,20,10,200,0.8,0.9,0.999955955955956,0.9999979978977926,0.16,0.8
51,0.5485714285714285,26,10,260,0.8,0.95,0.99995995995996,0.9999979978977926,0.24,0.8571428571428571
52,0.528888888888889,41,10,410,0.8,0.99,0.99995995995996,0.9999959957955854,0.28,0.7777777777777778
53,0.3657142857142857,9,9,81,0.9,0.99,0.999951951951952,0.999993993693378,0.16,0.5714285714285714
54,0.3733333333333333,11,10,110,0.9,0.99,0.999951951951952,0.9999979978977926,0.08,0.6666666666666666
55,0.6116071428571429,35,3,105,0.4,0.9,0.9998258258258258,0.9998258171079634,1.0,0.22321428571428573
56,0.6033057851239669,45,3,135,0.4,0.95,0.9998078078078078,0.9998077981880975,1.0,0.2066115702479339
57,0.577639751552795,70,3,210,0.4,0.99,0.9997277277277278,0.9997277140998048,1.0,0.15527950310559005
58,0.6318987341772152,46,4,184,0.4,0.7,0.9998878878878878,0.9998898843785975,0.96,0.3037974683544304
59,0.6436781609195402,62,4,248,0.4,0.8,0.9998758758758759,0.9998758696631463,1.0,0.28735632183908044
